City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Alugan,PH,79.68,scattered clouds,12.2188,125.4808,JM Lodge
299,Sabang,ID,83.57,scattered clouds,5.8933,95.3214,Hotel Citra
300,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
303,Buala,SB,79.3,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
308,Bhalwal,PK,89.76,light rain,32.272,72.9043,Alishanmaken
309,San Felipe,VE,82.96,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
312,Utinga,BR,88.2,broken clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
316,Kalaleh,IR,89.96,clear sky,37.3807,55.4916,کلاله
317,Balkanabat,TM,87.12,clear sky,39.5108,54.3671,Nebitchi Hotel
318,Ishigaki,JP,82.53,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
322,Banda Aceh,ID,80.78,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
325,Izumo,JP,76.95,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
326,Batticaloa,LK,85.21,overcast clouds,7.7102,81.6924,Grand Star Guest House
328,Zhifang,CN,82.38,clear sky,30.35,114.3167,Echarm Hotel Jiangxia Zhongbai Plaza
329,Aba,NG,84.4,moderate rain,5.1066,7.3667,Mickeys Guest House
334,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
335,Nouadhibou,MR,80.58,dust,20.931,-17.0347,El Medina
338,Boffa,GN,86.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
339,Marsh Harbour,BS,83.12,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
342,Simga,IN,86.45,overcast clouds,21.6333,81.7,OM Hotel & Sweet
343,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
345,Itarema,BR,84.81,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
347,Chanute,US,87.46,clear sky,37.6792,-95.4572,Guest House Motel Chanute
349,Sorong,ID,77.25,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
350,Santa Rita,BR,84.87,broken clouds,-7.1139,-34.9781,Infinity Motel
351,Wukari,NG,84.92,light rain,7.85,9.7833,Elimtop
